<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.RTS,1,20200826,134300,126110.0000000,126140.0000000,126080.0000000,126100.0000000,1040
SPFB.RTS,1,20200826,134400,126080.0000000,126100.0000000,126040.0000000,126080.0000000,545
SPFB.RTS,1,20200826,134500,126070.0000000,126090.0000000,126060.0000000,126070.0000000,345
SPFB.RTS,1,20200826,134600,126070.0000000,126160.0000000,126070.0000000,126140.0000000,428
SPFB.RTS,1,20200826,134700,126130.0000000,126170.0000000,126120.0000000,126150.0000000,441
SPFB.RTS,1,20200826,134800,126160.0000000,126220.0000000,126160.0000000,126180.0000000,846
SPFB.RTS,1,20200826,134900,126190.0000000,126200.0000000,126150.0000000,126150.0000000,364
SPFB.RTS,1,20200826,135000,126160.0000000,126230.0000000,126160.0000000,126210.0000000,399
SPFB.RTS,1,20200826,135100,126230.0000000,126230.0000000,126170.0000000,126180.0000000,323
SPFB.RTS,1,20200826,135200,126180.0000000,126190.0000000,126150.0000000,126180.0000000,167
SPFB.RTS,1,20200826,135300,126180.0000000,126230.0000000,126160.0000000,126160.0000000,462
SPFB.RTS,1,20200826,135400,126180.0000000,126230.0000000,126160.0000000,126190.0000000,567
SPFB.RTS,1,20200826,135500,126200.0000000,126210.0000000,126090.0000000,126110.0000000,698
SPFB.RTS,1,20200826,135600,126120.0000000,126150.0000000,126100.0000000,126110.0000000,353
SPFB.RTS,1,20200826,135700,126120.0000000,126150.0000000,126090.0000000,126120.0000000,176
SPFB.RTS,1,20200826,135800,126110.0000000,126130.0000000,126070.0000000,126090.0000000,304
SPFB.RTS,1,20200826,135900,126080.0000000,126180.0000000,126080.0000000,126130.0000000,671
SPFB.RTS,1,20200826,140500,126130.0000000,126160.0000000,126040.0000000,126050.0000000,618
SPFB.RTS,1,20200826,140600,126070.0000000,126190.0000000,126070.0000000,126160.0000000,522
SPFB.RTS,1,20200826,140700,126170.0000000,126230.0000000,126160.0000000,126220.0000000,385
SPFB.RTS,1,20200826,140800,126220.0000000,126260.0000000,126200.0000000,126200.0000000,732
SPFB.RTS,1,20200826,140900,126190.0000000,126250.0000000,126170.0000000,126220.0000000,301
SPFB.RTS,1,20200826,141000,126240.0000000,126240.0000000,126170.0000000,126180.0000000,306
SPFB.RTS,1,20200826,141100,126190.0000000,126200.0000000,126140.0000000,126190.0000000,401
SPFB.RTS,1,20200826,141200,126200.0000000,126200.0000000,126170.0000000,126180.0000000,383
SPFB.RTS,1,20200826,141300,126190.0000000,126190.0000000,126130.0000000,126150.0000000,453
SPFB.RTS,1,20200826,141400,126150.0000000,126220.0000000,126140.0000000,126180.0000000,202
SPFB.RTS,1,20200826,141500,126170.0000000,126220.0000000,126160.0000000,126210.0000000,159
SPFB.RTS,1,20200826,141600,126210.0000000,126220.0000000,126190.0000000,126210.0000000,318
SPFB.RTS,1,20200826,141700,126200.0000000,126210.0000000,126180.0000000,126190.0000000,437
SPFB.RTS,1,20200826,141800,126200.0000000,126220.0000000,126180.0000000,126190.0000000,197
SPFB.RTS,1,20200826,141900,126180.0000000,126200.0000000,126120.0000000,126130.0000000,421
SPFB.RTS,1,20200826,142000,126120.0000000,126160.0000000,126060.0000000,126060.0000000,509
SPFB.RTS,1,20200826,142100,126060.0000000,126100.0000000,126040.0000000,126100.0000000,688
SPFB.RTS,1,20200826,142200,126090.0000000,126090.0000000,125970.0000000,125970.0000000,1094
SPFB.RTS,1,20200826,142300,125970.0000000,126020.0000000,125950.0000000,125970.0000000,661
SPFB.RTS,1,20200826,142400,125970.0000000,126060.0000000,125950.0000000,125980.0000000,552
SPFB.RTS,1,20200826,142500,125990.0000000,126060.0000000,125950.0000000,125950.0000000,574
